露影藏形	lù yǐng cáng xíng
通今博古	tōng jīn bó gǔ
豪放不羁	háo fàng bù jī
从壁上观	cóng bì shàng guān
三头六证	sān tóu liù zhèng
餐风露宿	cān fēng lù sù
餐风宿露	cān fēng sù lù
风餐露宿	fēng cān lù sù
露餐风宿	lù cān fēng sù
露宿风餐	lù sù fēng cān
倾盖如故	qīng gài rú gù
人言籍籍	rén yán jí jí
鼻端生火	bí duān shēng huǒ
却行求前	què xíng qiú qián
只轮无反	zhī lún wú fǎn
微服私行	wēi fú sī xíng
擎天之柱	qíng tiān zhī zhù
韬晦之计	tāo huì zhī jì
来者居上	lái zhě jū shàng
为蛇添足	wéi shé tiān zú
随高就低	suí gāo jiù dī
以战养战	yǐ zhàn yǎng zhàn
贪欲无厌	tān yù wú yàn
白骨再肉	bái gǔ zài ròu
逸兴横飞	yì xìng héng fēi
两叶掩目	liǎng yè yǎn mù
老调重弹	lǎo diào zhòng dàn
慰情胜无	wèi qíng shèng wú
覆车之轨	fù chē zhī guǐ
逐影寻声	zhú yǐng xún shēng
户枢不朽	hù shū bù xiǔ
笔走龙蛇	bǐ zǒu lóng shé
三马同槽	sān mǎ tóng cáo
凄风冷雨	qī fēng lěng yǔ
字字珠玉	zì zì zhū yù
情逾骨肉	qíng yú gǔ ròu
十步香草	shí bù xiāng cǎo
自始至终	zì shǐ zhì zhōng
贼头狗脑	zéi tóu gǒu nǎo
与物无竞	yǔ wù wú jìng
屯毛不辨	tún máo bù biàn
前歌后舞	qián gē hòu wǔ
福为祸始	fú wéi huò shǐ
洁身自爱	jié shēn zì ài
仰面唾天	yǎng miàn tuò tiān
针芥之合	zhēn jiè zhī hé
母以子贵	mǔ yǐ zǐ guì
万马奔腾	wàn mǎ bēn téng
眉睫之内	méi jié zhī nèi
买马招兵	mǎi mǎ zhāo bīng
招兵买马	zhāo bīng mǎi mǎ
龙德在田	lóng dé zài tián
甘心瞑目	gān xīn míng mù
爱鹤失众	ài hè shī zhòng
火眼金睛	huǒ yǎn jīn jīng
托公行私	tuō gōng xíng sī
日已三竿	rì yǐ sān gān
目瞪口结	mù dèng kǒu jié
绝长续短	jué cháng xù duǎn
放浪无羁	fàng làng wú jī
先花后果	xiān huā hòu guǒ
神领意造	shén lǐng yì zào
诞妄不经	dàn wàng bù jīng
杳如黄鹤	yǎo rú huáng hè
迷涂知反	mí tú zhī fǎn
益国利民	yì guó lì mín
深切着白	shēn qiē zhe bái
开宗明义	kāi zōng míng yì
红豆相思	hóng dòu xiāng sī
眉欢眼笑	méi huān yǎn xiào
唇齿相依	chún chǐ xiāng yī
乔龙画虎	qiáo lóng huà hǔ
江心补漏	jiāng xīn bǔ lòu
付之一炬	fù zhī yī jù
见性成佛	jiàn xìng chéng fó
背暗投明	bèi àn tóu míng
腹非心谤	fù fēi xīn bàng
心谤腹非	xīn bàng fù fēi
青龙金匮	qīng lóng jīn kuì
死生荣辱	sǐ shēng róng rǔ
死求白赖	sǐ qiú bái lài
杜耳恶闻	dù ěr è wén
乐退安贫	lè tuì ān pín
镜里观花	jìng lǐ guān huā
同病相怜	tóng bìng xiāng lián
厚貌深文	hòu mào shēn wén
仁至义尽	rén zhì yì jìn
和颜说色	hé yán yuè sè
心余力绌	xīn yú lì chù
略胜一筹	lüè shèng yī chóu
总角之好	zǒng jiǎo zhī hǎo
锲而不舍	qiè ér bù shě
冬日可爱	dōng rì kě ài
深更半夜	shēn gēng bàn yè
疾走先得	jí zǒu xiān dé
息息相关	xī xī xiāng guān
反躬自问	fǎn gōng zì wèn
随波逐流	suí bō zhú liú
蔽日遮天	bì rì zhē tiān
遮天蔽日	zhē tiān bì rì
抱恨终天	bào hèn zhōng tiān
柳影花阴	liǔ yǐng huā yīn
兵微将寡	bīng wēi jiàng guǎ
目治手营	mù zhì shǒu yíng
十步香车	shí bù xiāng chē
茫无头绪	máng wú tóu xù
龙姿凤采	lóng zī fèng cǎi
两全其美	liǎng quán qí měi
回邪入正	huí xié rù zhèng
洞若观火	dòng ruò guān huǒ
名实相符	míng shí xiāng fú
不容置喙	bù róng zhì huì
世代书香	shì dài shū xiāng
将功补过	jiāng gōng bǔ guò
轻车熟道	qīng chē shú dào
颠来倒去	diān lái dǎo qù
三阳开泰	sān yáng kāi tài
井渫不食	jǐng xiè bù shí
枉费日月	wǎng fèi rì yuè
趁虚而入	chèn xū ér rù
引虎自卫	yǐn hǔ zì wèi
暗室欺心	àn shì qī xīn
三首六臂	sān shǒu liù bì
轻嘴薄舌	qīng zuǐ bó shé
目光如炬	mù guāng rú jù
相视莫逆	xiāng shì mò nì
气克斗牛	qì kè dǒu niú
横僿不文	héng sài bù wén
可发一噱	kě fā yī jué
蜂拥而上	fēng yōng ér shàng
驰风骋雨	chí fēng chěng yǔ
出纳之吝	chū nà zhī lìn
不媿下学	bù kuì xià xué
学无止境	xué wú zhǐ jìng
前功尽灭	qián gōng jìn miè
管见所及	guǎn jiàn suǒ jí
以权谋私	yǐ quán móu sī
知彼知己	zhī bǐ zhī jǐ
知己知彼	zhī jǐ zhī bǐ
独来独往	dú lái dú wǎng
独往独来	dú wǎng dú lái
任重致远	rèn zhòng zhì yuǎn
致远任重	zhì yuǎn rèn zhàng
将伯之呼	qiāng bó zhī hū
为非作歹	wéi fēi zuò dǎi
作歹为非	zuò dǎi wéi fēi
鱼肉乡里	yú ròu xiāng lǐ
生关死劫	shēng guān sǐ jié
徒劳无益	tú láo wú yì
风雨萧条	fēng yǔ xiāo tiáo
金精玉液	jīn jīng yù yè
生死予夺	shēng sǐ yǔ duó
自甘暴弃	zì gān bào qì
慈眉善目	cí méi shàn mù
自怨自艾	zì yuàn zì yì
气急败丧	qì jí bài sàng
假门假事	jiǎ mén jiǎ shì
横眉怒视	héng méi nù shì
深中隐厚	shēn zhōng yǐn hòu
穿云裂石	chuān yún liè shí
裂石穿云	liè shí chuān yún
犯上作乱	fàn shàng zuò luàn
方以类聚	fāng yǐ lèi jù
好行小慧	hǎo xíng xiǎo huì
口沸目赤	kǒu fèi mù chì
好梦难圆	hǎo mèng nán yuán
饱经世变	bǎo jīng shì biàn
慌不择路	huāng bù zé lù
赫然而怒	hè rán ér nù
惟精惟一	wéi jīng wéi yī
昏迷不醒	hūn mí bù xǐng
只字不提	zhī zì bù tí
蹈人旧辙	dǎo rén jiù zhé
博学多才	bó xué duō cái
强弩之极	qiáng nǔ zhī jí
轻财贵义	qīng cái guì yì
秋毫无犯	qiū háo wú fàn
间不容瞬	jiān bù róng shùn
百代文宗	bǎi dài wén zōng
重气徇命	zhòng qì xùn míng
泥古非今	nì gǔ fēi jīn
万壑争流	wàn hè zhēng liú
生荣死哀	shēng róng sǐ āi
流言混话	liú yán hùn huà
东零西散	dōng líng xī sàn
少小无猜	shào xiǎo wú cāi
以逸击劳	yǐ yì jī láo
天造草昧	tiān zào cǎo mèi
十字街头	shí zì jiē tóu
列风淫雨	liè fēng yín yǔ
穷理尽性	qióng lǐ jìn xìng
惊慌无措	jīng huāng wú cuò
不越雷池	bù yuè léi shi
福寿年高	fú shòu nián gāo
水尽鹅飞	shuǐ jìn é fēi
虚左以待	xū zuǒ yǐ dài
不药而愈	bù yào ér yù
背恩忘义	bèi ēn wàng yì
背义忘恩	bèi yù wàng ēn
忘恩背义	wàng ēn bèi yì
面誉背非	miàn yù bèi fēi
以义割恩	yǐ yì gē ēn
昂然直入	áng rán zhí rù
作福作威	zuò fú zuò wēi
作威作福	zuò wēi zuò fú
察今知古	chá jīn zhī gǔ
放浪无拘	fàng làng wú jū
安居乐业	ān jū lè yè
乐业安居	lè yè ān jū
使心作幸	shǐ xīn zuò xìng
玉卮无当	yù zhī wú dàng
一枕槐安	yī zhěn huái ān
志骄意满	zhì jiāo yì mǎn
言芳行洁	yán fāng xíng jié
流言蜚语	liú yán fēi yǔ
强死强活	qiǎng sǐ qiǎng huó
彩云易散	cǎi yún yì sàn
黄粱一梦	huáng liáng yī mèng
以卵敌石	yǐ luǎn dí shí
是非曲直	shì fēi qǔ zhí
身体发肤	shēn tǐ fà fū
垢面蓬头	gòu miàn péng tóu
蓬头垢面	péng tóu gòu miàn
果于自信	guǒ yú zì xìn
狐鸣鱼书	hú míng yú shū
鱼肉百姓	yú ròu bǎi xìng
进退双难	jìn tuì shuāng nán
表里为奸	biǎo lǐ wéi jiān
山珍海错	shān zhēn hǎi cuò
七步成诗	qī bù chéng shī
甘贫乐道	gān pín lè dào
盗名欺世	dào míng qī shì
欺世盗名	qī shì dào míng
照功行赏	zhào gōng xíng shǎng
鹰视虎步	yīng shì hǔ bù
喜从天降	xǐ cóng tiān jiàng
文章宿老	wén zhāng sù lǎo
开国功臣	kāi guó gōng chén
翻空出奇	fān kōng chū qí
口中雌黄	kǒu zhōng cí huáng
三年化碧	sān nián huà bì
父为子隐	fù wéi zǐ yǐn
子为父隐	zǐ wéi fù yǐn
面面俱圆	miàn miàn jù yuán
不厌其详	bù yàn qí xiáng
隐若敌国	yǐn ruò dí guó
狂风骤雨	kuáng fēng zhòu yǔ
骤雨狂风	zhòu yǔ kuáng fēng
一斑半点	yī bān bàn diǎn
东播西流	dōng bō xī liú
悲歌易水	bēi gē yì shuǐ
以火去蛾	yǐ huǒ qù é
日角珠庭	rì jiǎo zhū tíng
因祸为福	yīn huò wéi fú
孤军深入	gū jūn shēn rù
以假乱真	yǐ jiǎ luàn zhēn
形销骨立	xíng xiāo gǔ lì
赏高罚下	shǎng gāo fá xià
散马休牛	sàn mǎ xiū niú
休牛散马	xiū niú sàn mǎ
坐而待弊	zuò ér dài bì
一脉香烟	yī mài xiāng yān
星流电击	xīng liú diàn jī
贼头鬼脑	zéi tóu guǐ nǎo
整旧如新	zhěng jiù rú xīn
粗中有细	cū zhōng yǒu xì
矜功负气	jīn gōng fǔ qì
鹰扬虎视	yīng yáng hǔ shì
不愧屋漏	bù kuì wū lòu
指东话西	zhǐ dōng huà xī
珠流璧转	zhū liú bì zhuǎn
小眼薄皮	xiǎo yǎn bó pí
感同身受	gǎn tóng shēn shòu
盈满之咎	yíng mǎn zhī jiù
春风沂水	chūn fēng yí shuǐ
沂水春风	yí shuǐ chūn fēng
计穷智极	jì qióng zhì jí
一之谓甚	yī zhī wèi shèn
以往鉴来	yǐ wǎng jiàn lái
顺非而泽	shùn fēi ér zé
东驰西击	dōng chí xī jī
嫌长道短	xián cháng dào duǎn
物伤其类	wù shāng qí lèi
朽棘不雕	xiǔ jí bù diāo
水底摸月	shuǐ dǐ mō yuè
引物连类	yǐn wù lián lèi
安常守故	ān cháng shǒu gù
遁世无闷	dùn shì wú mèn
开雾睹天	kāi wù dǔ tiān
佛眼佛心	fó yǎn fó xīn
东奔西走	dōng bēn xī zǒu
先意承指	xiān yì chéng zhǐ
先意承志	xiān yì chéng zhì
三魂出窍	sān hún chū qiào
俯仰之间	fǔ yǎng zhī jiān
花红柳绿	huā hóng liǔ lǜ
柳绿花红	liǔ lǜ huā hóng
从宽发落	cóng kuān fā luò
撼地摇天	hàn dì yáo tiān
像心适意	xiàng xīn shì yì
孤文只义	gū wén zhī yì
表里相依	biǎo lǐ xiāng yī
束手听命	shù shǒu tīng mìng
创意造言	chuàng yì zào yán
打草惊蛇	dǎ cǎo jīng shé
打草蛇惊	dǎ cǎo shé jīng
断长续短	duàn chāng xù duǎn
前功尽废	qián gōng jìn fèi
滔滔不绝	tāo tāo bù jué
背义负信	bèi yù fù xìn
碧空万里	bì kōng wàn lǐ
相去悬殊	xiāng qù xuán shū
身怀六甲	shēn huái liù jiǎ
触物伤情	chù wù shāng qíng
斗鸡养狗	dòu jī yǎng gǒu
六通四达	liù tōng sì dá
带月披星	dài yuè pī xīng
披星带月	pī xīng dài yuè
轻车简从	qīng chē jiǎn cóng
井井有条	jǐng jǐng yǒu tiáo
虎变龙蒸	hǔ biàn lóng zhēng
横见侧出	héng jiàn cè chū
全功尽弃	quán gōng jìn qì
高城深池	gāo chéng shēn chí
气血方刚	qì xuè fāng gāng
血气方刚	xuè qì fāng gāng
供不应求	gōng bù yìng qiú
运筹千里	yùn chóu qiān lǐ
甘之如荠	gān zhī rú jì
须眉交白	xū méi jiāo bái
陷落计中	xiàn luò jì zhōng
孔席不适	kǒng xí bù shì
四分五剖	sì fēn wǔ pōu
怒目切齿	nù mù qiè chǐ
矫世变俗	jiǎo shì biàn sú
蔚为大观	wèi wéi dà guān
放火烧山	fàng huǒ shāo shān
烟飞星散	yān fēi xīng sàn
漏洞百出	lòu dòng bǎi chū
固执成见	gù zhí chéng jiàn
恩恩相报	ēn ēn xiāng bào
随高逐低	suí gāo zhú dī
雾集云合	wù jí yún hé
云合雾集	yún hé wù jí
好事天悭	hǎo shì tiān qiān
年深岁久	nián shēn suì jiǔ
事火咒龙	shì huǒ zhòu lóng
苦身焦思	kǔ shēn jiāo sī
宝马香车	bǎo mǎ xiāng chē
香车宝马	xiāng chē bǎo mǎ
饱经世故	bǎo jīng shì gù
一柱擎天	yī zhù qíng tiān
旧事重提	jiù shì zhòng tí
路柳墙花	lù liǔ qiáng huā
墙花路柳	qiáng huā lù liǔ
说亲道热	shuō qīn dào rè
大吹大擂	dà chuī dà léi
九天仙女	jiǔ tiān xiān nǚ
遂非文过	suí fēi wén guò
文过遂非	wén guò suí fēi
出处语默	chū chǔ yǔ mò
德言工貌	dé yán gōng mào
颐指风使	yí zhǐ fēng shǐ
历历可见	lì lì kě jiàn
一箪一瓢	yī dān yī piáo
音问两绝	yīn wèn liǎng jué
独学寡闻	dú xué guǎ wén
染神乱志	rǎn shén luàn zhì
鸾凤和鸣	luán fèng hè míng
心慕手追	xīn mù shǒu zhuī
压卷之作	yā juàn zhī zuò
秋月寒江	qiū yuè hán jiāng
至诚高节	zhì chéng gāo jié
楚楚有致	chǔ chǔ yǒu zhì
骨腾肉飞	gǔ téng ròu fēi
夸大其词	kuā dà qí cí
二龙戏珠	èr lóng xì zhū
负恩忘义	fù ēn wàng yì
负义忘恩	fù yì wàng ēn
忘恩负义	wàng ēn fù yì
破涕成笑	pò tì chéng xiào
来龙去脉	lái lóng qù mài
昌言无忌	chāng yán wú jì
适心娱目	shì xīn yú mù
全知全能	quán zhī quán néng
玉石俱焚	yù shí jù fén
惊师动众	jīng shī dòng zhòng
邈以山河	miǎo yǐ shān hé
一官半职	yī guān bàn zhí
指手点脚	zhǐ shǒu diǎn jiǎo
貌合形离	mào hé xíng lí
身名俱灭	shēn míng jù miè
黄雀在后	huáng què zài hòu
长话短说	cháng huà duǎn shuō
话长说短	huà cháng shuō duǎn
说长话短	shuō cháng huà duǎn
总角之交	zǒng jiǎo zhī jiāo
阑风伏雨	lán fēng fú yǔ
告老在家	gào lǎo zài jiā
海沸山裂	hǎi fèi shān liè
此中三昧	cǐ zhōng sān mèi
漫天遍地	màn shān biàn dì
救难解危	jiù nán jiě wēi
旷世奇才	kuàng shì qí cái
东怒西怨	dōng nù xī yuàn
东怨西怒	dōng yuàn xī nù
久历风尘	jiǔ lì fēng chén
舟中敌国	zhōu zhōng dí guó
阿世取容	ē shì qǔ róng
长林丰草	cháng lín fēng cǎo
丰草长林	fēng cǎo cháng lín
艺不压身	yì bù yā shēn
祸福相依	huò fú xiāng yī
枝分叶散	zhī fēn yè sàn
八字打开	bā zì dǎ kāi
犬吠之盗	quǎn fèi zhī dào
得月较先	dé yuè jiào xiān
推东主西	tuī dōng zhǔ xī
慧业才人	huì yè cái rén
肝肠寸断	gān cháng cùn duàn
贞高绝俗	zhēn gāo jué sú
快人快性	kuài rén kuài xìng
身当其境	shēn dāng qí jìng
四面受敌	sì miàn shòu dí
事过景迁	shì guò jǐng qiān
引狼入室	yǐn láng rù shì
谢天谢地	xiè tiān xiè dì
贤良方正	xián liáng fāng zhèng
收成弃败	shōu chéng qì bài
爽心豁目	shuǎng xīn huō mù
鸾孤凤寡	luán gū fèng guǎ
无关痛痒	wú guān tòng yǎng
一元复始	yī yuán fù shǐ
畏影而走	wèi yǐng ér zǒu
慌作一团	huāng zuò yī tuán
佳兵不祥	jiā bīng bù xiáng
人世沧桑	rén shì cāng sāng
风雷火炮	fēng léi huǒ pào
曾不惨然	zeng bu chan ran
声威大震	shēng wēi dà zhèn
豪言壮语	háo yán zhuàng yǔ
一雕双兔	yī diāo shuāng tù
成败兴废	chéng bài xīng fèi
另有洞天	lìng yǒu dòng tiān
声色俱厉	shēng sè jù lì
轻世肆志	qīng shì sì zhì
公私两济	gōng sī liǎng jì
鸡虫得失	jī chóng dé shī
人心叵测	rén xīn pǒ cè
白首相庄	bái shǒu xiāng zhuāng
油干火尽	yóu gān huǒ jìn
白鱼登舟	bái yú dēng zhōu
国尔忘家	guó ěr wàng jiā
轻视傲物	qīng shì ào wù
魂劳梦断	hún láo mèng duàn
梦断魂劳	mèng duàn hún láo
唯所欲为	wéi suǒ yù wéi
疾如雷电	jí rú léi diàn
深仇重怨	shēn chóu zhòng yuàn
更长梦短	gēng cháng mèng duǎn
食少事繁	shí shǎo shì fán
落纸云烟	luò zhǐ yún yān
纸落云烟	zhǐ luò yún yān
深切着明	shēn qiē zhe míng
锦绣河山	jǐn xiù hé shān
锦绣山河	jǐn xiù shān hé
神魂摇荡	shén hún yáo dàng
极智穷思	jí zhì qióng sī
安堵如故	ān dǔ rú gù
对答如流	duì dá rú liú
剖心泣血	pōu xīn qì xuè
三街两市	sān jiē liǎng shì
自出机轴	zì chū jī zhóu
力学笃行	lì xué dǔ xíng
过街老鼠	guò jiē lǎo shǔ
老鼠过街	lǎo shǔ guò jiē
弦外有音	xián wài yǒu yīn
争强好胜	zhēng qiáng hào shèng
逐流忘返	zhú liú wàng fǎn
画水镂冰	huà shuǐ lòu bīng
不事边幅	bù shì biān fú
床上安床	chuáng shàng ān chuáng
口似悬河	kǒu sì xuán hé
笑里藏刀	xiào lǐ cáng dāo
轩然大波	xuān rán dà bō
别风淮雨	bié fēng huái yǔ
五零二落	wǔ líng èr luò
礼贤下士	lǐ xián xià shì
眼观六路	yǎn guān liù lù
发愤忘食	fā fèn wàng shí
旁门邪道	páng mén xié dào
绝裙而去	jué jū ér qù
无动于衷	wú dòng yú zhōng
眷眷之心	juàn juàn zhī xīn
良知良能	liáng zhī liáng néng
高居深拱	gāo jū shēn gǒng
回春妙手	huí chūn miào shǒu
妙手回春	miào shǒu huí chūn
振臂一呼	zhèn bì yī hū
登山涉水	dēng shān shè shuǐ
肺腑之言	fèi fǔ zhī yán
经邦论道	jīng bāng lùn dào
论道经邦	lùn dào jīng bāng
民生在勤	mín shēng zài qín
长歌当哭	cháng gē dàng kū
枯树生华	kū shù shēng huā
木梗之患	mù gěng zhī huàn
时移势迁	shí yí shì qiān
视如陌路	shì rú mò lù
指皂为白	zhǐ zào wéi bái
前程万里	qián chéng wàn lǐ
痛改前非	tòng gǎi qián fēi
杜口结舌	dù kǒu jié shé
结舌杜口	jié shé dù kǒu
窗间过马	chuāng jiān guò mǎ
积年累岁	jī nián lěi suì
八面驶风	bā miàn shǐ fēng
轩盖如云	xuān gài rú yún
招风惹草	zhāo fēng rě cǎo
林下风范	lín xià fēng fàn
服牛乘马	fú niú chéng mǎ
打凤牢龙	dǎ fèng láo lóng
